DOUTL,YOB,NKID,SINC,DAINC,RES,AES,BAD,RES(binary),AES(binary),KIDS
0.0,61.0,0.0,13000.0,0.0,O,P,1.0,1,1,0
0.0,55.0,1.0,0.0,12464.0,N,P,0.0,0,1,1
180.0,54.0,2.0,6984.0,22500.0,O,P,0.0,1,1,1
0.0,48.0,2.0,4200.0,54000.0,O,P,0.0,1,1,1
80.0,61.0,0.0,0.0,16500.0,F,P,1.0,0,1,0
0.0,66.0,0.0,0.0,5745.0,P,T,0.0,0,0,0
0.0,64.0,0.0,0.0,20400.0,U,V,0.0,0,1,0
0.0,64.0,0.0,11200.0,19800.0,O,V,0.0,1,1,0
0.0,46.0,2.0,0.0,15464.0,O,P,0.0,1,1,1
0.0,65.0,0.0,0.0,16500.0,P,V,0.0,0,1,0
0.0,64.0,0.0,0.0,4170.0,P,T,0.0,0,0,0
0.0,68.0,0.0,0.0,5862.0,U,T,0.0,0,0,0
0.0,99.0,0.0,0.0,0.0,U,R,1.0,0,1,0
0.0,55.0,0.0,0.0,43632.0,O,V,0.0,1,1,0
120.0,57.0,0.0,0.0,30000.0,O,P,0.0,1,1,0
0.0,68.0,0.0,0.0,6900.0,P,T,0.0,0,0,0
0.0,46.0,4.0,0.0,30000.0,O,E,0.0,1,1,1
0.0,35.0,0.0,0.0,23100.0,U,V,0.0,0,1,0
0.0,45.0,1.0,0.0,29769.0,U,P,0.0,0,1,1
5200.0,30.0,2.0,0.0,9464.0,O,R,0.0,1,1,1
324.0,55.0,0.0,0.0,18900.0,O,V,0.0,1,1,0
0.0,66.0,0.0,0.0,0.0,F,T,0.0,0,0,0
0.0,50.0,2.0,3000.0,19500.0,O,P,0.0,1,1,1
0.0,31.0,2.0,0.0,31500.0,O,P,0.0,1,1,1
0.0,53.0,0.0,0.0,17400.0,F,E,0.0,0,1,0
0.0,53.0,3.0,0.0,28206.0,O,V,0.0,1,1,1
0.0,53.0,0.0,0.0,45000.0,N,P,0.0,0,1,0
0.0,52.0,2.0,0.0,22500.0,O,E,0.0,1,1,1
0.0,55.0,2.0,3000.0,45000.0,O,E,0.0,1,1,1
0.0,66.0,0.0,0.0,5538.0,P,T,0.0,0,0,0
0.0,69.0,0.0,0.0,0.0,P,T,1.0,0,0,0
0.0,50.0,4.0,7000.0,35400.0,O,B,0.0,1,1,1
576.0,50.0,2.0,0.0,59931.0,O,V,0.0,1,1,1
0.0,68.0,0.0,0.0,6189.0,P,T,0.0,0,0,0
0.0,54.0,0.0,6700.0,46500.0,O,P,0.0,1,1,0
0.0,68.0,0.0,0.0,8100.0,P,P,0.0,0,1,0
0.0,60.0,0.0,8500.0,40800.0,O,V,0.0,1,1,0
472.0,64.0,0.0,0.0,27000.0,P,P,0.0,0,1,0
0.0,58.0,0.0,5000.0,31320.0,F,V,0.0,0,1,0
0.0,63.0,0.0,0.0,20400.0,P,V,0.0,0,1,0
0.0,58.0,0.0,9600.0,0.0,O,W,0.0,1,0,0
0.0,62.0,0.0,0.0,24000.0,F,E,0.0,0,1,0
0.0,57.0,0.0,0.0,27000.0,U,E,1.0,0,1,0
0.0,64.0,0.0,0.0,19290.0,P,B,0.0,0,1,0
0.0,60.0,2.0,10000.0,18264.0,O,V,1.0,1,1,1
0.0,56.0,0.0,9000.0,8640.0,O,P,0.0,1,1,0
0.0,58.0,0.0,0.0,18000.0,O,P,0.0,1,1,0
152.0,63.0,1.0,0.0,27000.0,U,V,0.0,0,1,1
0.0,46.0,0.0,0.0,30000.0,O,P,1.0,1,1,0
0.0,65.0,0.0,0.0,5538.0,P,T,0.0,0,0,0
0.0,59.0,1.0,0.0,35460.0,O,P,1.0,1,1,1
